"Longitude","Latitude","Admin","Year","disease"
14.14,11.04,-999,1990,"yf"
13.8,10.74,-999,1990,"yf"
-10.06,5.91,-999,1995,"yf"
12.86,0.56,-999,1995,"yf"
-10.81,6.87,-999,1996,"yf"
-10.1,6.74,-999,1996,"yf"
-9.03,5.01,-999,1996,"yf"
-60.02,-3.11,-999,1996,"yf"
-14.8,13.98,-999,1995,"yf"
2.71,10.78,-999,1996,"yf"
-75.6,-1.51,-999,1997,"yf"
-75.95,-1.61,-999,1997,"yf"
-76.96,-2.06,-999,1997,"yf"
-72.13,2.89,-999,1997,"yf"
-75.82,6.55,-999,1991,"yf"
-74.1,4.61,-999,1991,"yf"
-73.35,5.45,-999,1991,"yf"
-55.51,-1.9,-999,1997,"yf"
-51.65,-1.41,-999,1997,"yf"
-40.65,-7.43,-999,1997,"yf"
-50.38,-0.16,-999,1997,"yf"
-10.11,6.23,-999,1995,"yf"
-10.35,6.8,-999,1995,"yf"
-8.57,7.48,-999,1998,"yf"
-2.91,9.88,-999,1998,"yf"
-64.25,3.5,-999,1998,"yf"
-56.01,-4.21,-999,1998,"yf"
-60.66,2.81,-999,1998,"yf"
-61.47,2.9,-999,1998,"yf"
-57.26,-8.95,-999,1998,"yf"
-60.95,2.45,-999,1998,"yf"
-63.4,-18.76,-999,1999,"yf"
-62.5,-15.92,-999,1999,"yf"
-63.63,-17.78,-999,1999,"yf"
-60.693197,-16.577793,-999,1999,"yf"
-63.08,-17.93,-999,1999,"yf"
-63.06,-17,-999,1999,"yf"
-63.85,-18.48,-999,1999,"yf"
-76.96,-6.05,-999,1999,"yf"
-76.53,-6.41,-999,1999,"yf"
-76.95,-6.11,-999,1999,"yf"
-12.32,12.13,-999,2000,"yf"
-12.63,9.86,-999,2000,"yf"
-11.9,11.58,-999,2000,"yf"
-12.28,11.31,-999,2000,"yf"
-11.8,11.48,-999,2000,"yf"
-47.66,-11.98,-999,2000,"yf"
-48.45,-14.45,-999,2000,"yf"
-48.98,-15.06,-999,2000,"yf"
-46.89,-12.97,-999,2000,"yf"
-49.5,-1,-999,2000,"yf"
-50.85,-15.88,-999,2000,"yf"
-47.47,-14.08,-999,1999,"yf"
-47.47,-14.08,-999,2000,"yf"
-47.52,-14.12,-999,2000,"yf"
-12.15,12.58,-999,2001,"yf"
-15.55,14.1,-999,1996,"yf"
-14.8,13.98,-999,1996,"yf"
-45.28,-20.08,-999,2001,"yf"
-44.98,-19.86,-999,2001,"yf"
-44.9,-20.15,-999,2001,"yf"
-45.4,-19.83,-999,2001,"yf"
-46.05,-19.31,-999,2001,"yf"
-45.03,-19.7,-999,2001,"yf"
-44.9,-19.73,-999,2001,"yf"
-45.21,-19.33,-999,2001,"yf"
-45.66,-19.8,-999,2001,"yf"
-55.65,-28.18,-999,2001,"yf"
-71.01,-3.9,-999,2001,"yf"
-73.24,-3.74,-999,2001,"yf"
-9.58,5.46,-999,2000,"yf"
-0.24,11.05,-999,2001,"yf"
-13.71,9.5,-999,2001,"yf"
-50.48,-1.66,-999,2002,"yf"
-16.41,14.33,-999,2002,"yf"
-16.46,14.7,-999,2002,"yf"
-16.05,15.05,-999,2002,"yf"
-15.91,14.8,-999,2002,"yf"
-16.45,15.36,-999,2002,"yf"
-16.06,14.5,-999,2002,"yf"
-17.43,14.67,-999,2002,"yf"
-16.7,14.76,-999,2002,"yf"
-15.88,14.85,-999,2002,"yf"
-16.7,14.41,-999,2002,"yf"
-13.66,13.78,-999,2002,"yf"
-62.73,-17.31,-999,2002,"yf"
-62.68333,-19.85,-999,2002,"yf"
-76.29,-7.57,-999,2003,"yf"
-11.68,8.65,-999,2003,"yf"
-72.08,7.58,-999,2003,"yf"
-72.54,10.06,-999,2003,"yf"
-72.51,8.74,-999,2003,"yf"
-71.64,10.63,-999,2003,"yf"
-43.38,-18.61,-999,2003,"yf"
-51.65,-1.41,-999,2003,"yf"
-74.76,2.11,-999,2003,"yf"
-9.01,9.26,-999,2003,"yf"
-9.46,8.54,-999,2003,"yf"
-43.3,-18.5,-999,2003,"yf"
-41.1,-19.01,-999,2003,"yf"
-43.1,-18.66,-999,2003,"yf"
-41.46,-17.56,-999,2003,"yf"
-42.95,-18.78,-999,2003,"yf"
-42.15,-20.71,-999,2003,"yf"
-57.68,-16.06,-999,2003,"yf"
-73.69,10.84,-999,2004,"yf"
-73.26,8.75,-999,2003,"yf"
33.1,4.07,-999,2003,"yf"
-6.97,9.72,-999,2003,"yf"
-71.73,9.36,-999,2003,"yf"
-72.32,7.82,-999,2003,"yf"
-69.2,8.7,-999,2003,"yf"
-4.3,11.2,-999,2004,"yf"
-3.18,10.33,-999,2004,"yf"
-60.1,-3.25,-999,2004,"yf"
-63.56,10.18,-999,2004,"yf"
-70.9,-12.25,-999,2004,"yf"
-64.3,-16.75,-999,2004,"yf"
-76.96,-6.05,-999,2004,"yf"
-72.65,-12.83,-999,2004,"yf"
-75.21,-10.96,-999,2004,"yf"
-74.2,11.24,-999,2004,"yf"
-57.48,-14.63,-999,2003,"yf"
-73.3,11.27,-999,2004,"yf"
-74.87,-10.92,-999,2004,"yf"
-76.68,-6.48,-999,2004,"yf"
-75.99,-11.15,-999,2004,"yf"
-69.95,-4.25,-999,2004,"yf"
-75.93,-9.16,-999,2004,"yf"
-73.25,10.47,-999,2004,"yf"
-76.23,-9.91,-999,2004,"yf"
-60.95,-16.36,-999,2004,"yf"
-49.68,-5.58,-999,2004,"yf"
-5.18,11.55,-999,2004,"yf"
-2.91,9.88,-999,2005,"yf"
-4.76,10.63,-999,2005,"yf"
-3.18,10.33,-999,2005,"yf"
-76.87,0.69,-999,2005,"yf"
-2.7,10.53,-999,2004,"yf"
-8.82,7.74,-999,2005,"yf"
-9.48,13.05,-999,2005,"yf"
-12.5,11.5,-999,2005,"yf"
28.43,9.6,-999,2005,"yf"
29.13,11.4,-999,2005,"yf"
-67.11,7.71,-999,2004,"yf"
-61.31,4.61,-999,2004,"yf"
-12.08,10.38,-999,2005,"yf"
-67.6,8.11,-999,2005,"yf"
-67.41,8,-999,2005,"yf"
11.88333,3.25,-999,2007,"yf"
16.37785,6.31561,-999,2008,"yf"
-4.02806,5.34111,-999,2008,"yf"
-7.569,9.51,-999,2010,"yf"
9.43861,4.64389,-999,2010,"yf"
-4.02806,5.34111,-999,2010,"yf"
-5.1,8.13333,-999,2011,"yf"
-2.7,10.533,-999,2011,"yf"
-74.22389,-13.15833,-999,2012,"yf"
33.33333,2.83333,-999,2012,"yf"
21.46179,12.21118,-999,2013,"yf"
-2.7,10.533,-999,2013,"yf"
26.41939,1.64063,-999,2014,"yf"
25.85,-9.2,-999,2014,"yf"
23.68665,3.81461,-999,2014,"yf"
24.72998,2.78582,-999,2014,"yf"
26.42529,-8.19881,-999,2014,"yf"
13.34962,-8.89714,-999,2016,"yf"
17.3856,-3.31523,-999,2013,"yf"
25.567,3.267,-999,2010,"yf"
14.68794,-13.78667,-999,2016,"yf"
15.73917,-12.77611,-999,2016,"yf"
-74.967,-9.367,-999,2015,"yf"
-73.24722,-3.74806,-999,2015,"yf"
-75.34122,-11.3358,-999,2016,"yf"
17.083,5.317,-999,2009,"yf"
-2.41667,13.58333,-999,2008,"yf"
-4.01167,5.34889,-999,2013,"yf"
-3.96299,5.25677,-999,2013,"yf"
-16.791,13.349,-999,2010,"yf"
-8.86028,6.49222,-999,2009,"yf"
-9.43028,7.77944,-999,2009,"yf"
-50.57422,-13.21602,-999,2015,"yf"
-47.92972,-15.77972,-999,2008,"yf"
-49.90222,-6.0675,-999,2008,"yf"
-46.63611,-23.5475,-999,2009,"yf"
13.275,-8.84861,-999,2016,"yf"
-48.445,-22.88583,-999,2009,"yf"
-52.09861,-32.035,-999,2009,"yf"
-8.87194,6.49444,-999,2008,"yf"
16.85,4.5,-999,2008,"yf"
17.46667,4.31667,-999,2008,"yf"
-4.00917,5.30333,-999,2008,"yf"
-11.73833,7.96472,-999,2008,"yf"
-11.73833,7.96472,-999,2009,"yf"
-48.98333,-23.5,-999,2008,"yf"
-73.08775,-14.05045,-999,2013,"yf"
32.56556,0.31556,-999,2010,"yf"
-6.18972,8.05861,-999,2011,"yf"
-74.22389,-13.15833,-999,2011,"yf"
-74.22389,-13.15833,-999,2013,"yf"
32.53417,15.58806,-999,2012,"yf"
33.33333,2.83333,-999,2010,"yf"
-6.67306,7.96111,-999,2011,"yf"
-2.50192,10.06069,-999,2011,"yf"
-5.57972,7.67611,-999,2011,"yf"
-73.90806,-12.4095,-999,2013,"yf"
9.241,4.153,-999,2009,"yf"
14.989,-0.557,-999,2009,"yf"
-11.43333,7.91667,-999,2009,"yf"
-11.67861,7.42083,-999,2009,"yf"
-7.78695,10.1621,-999,2009,"yf"
-7.28358,9.691121,-999,2009,"yf"
-7.382981,9.81679,-999,2009,"yf"
17.65,5.266667,-999,2009,"yf"
17.116667,5.266667,-999,2009,"yf"
18.55,4.366667,-999,2009,"yf"
16.366667,6.3,-999,2008,"yf"
21.2,5.05,-999,2009,"yf"
21.183333,4.316667,-999,2010,"yf"
22.15,6.816667,-999,2008,"yf"
-52.878056,-20.448056,-999,NA,"yf"
-5.91667,6.41667,-999,2006,"yf"
-8.861439,6.642959,-999,2008,"yf"
-57.419749,-25.363093,-999,2008,"yf"
16.19123,5.97287,-999,2006,"yf"
-9.950294,9.583429,-999,2006,"yf"
-8.36667,11.13333,-999,2006,"yf"
-0.220505,7.78061,-999,2006,"yf"
-10.50735,9.525464,-999,2008,"yf"
-12.03745,7.58227,-999,2011,"yf"
-9.6368821,8.0697911,-999,2009,"yf"
-11.586928,7.932865,-999,2008,"yf"
-57.552096,-25.337882,-999,2008,"yf"
22.249388,15.125633,-999,2012,"yf"
-65.241408,-16.995643,-999,2012,"yf"
-75.326077,1.571575,-999,2013,"yf"
-6.617,8.58,-999,2010,"yf"
-6.623,8.46,-999,2010,"yf"
-6.612,8.447,-999,2010,"yf"
-6.66,8.334,-999,2010,"yf"
-50.504,-27.465,-999,2005,"yf"
-55.896,-22.494,-999,2003,"yf"
-56.108,-22.075,-999,2006,"yf"
-56.751,-22.075,-999,2008,"yf"
-57.275,-21.969,-999,2007,"yf"
-56.312,-21.349,-999,2005,"yf"
-56.634,-21.031,-999,2003,"yf"
-55.991,-20.407,-999,2000,"yf"
-55.027,-20.314,-999,2005,"yf"
-54.827,-20.32,-999,2008,"yf"
-54.5,-20.009,-999,2008,"yf"
-53.86,-20.332,-999,2005,"yf"
-54.926,-19.69,-999,2005,"yf"
-54.176,-19.485,-999,2008,"yf"
-54.709,-19.273,-999,2005,"yf"
-54.699,-18.019,-999,2005,"yf"
-57.788,-18.932,-999,2005,"yf"
-57.784,-18.829,-999,2006,"yf"
-50.879,-19.936,-999,2008,"yf"
-50.447,-19.939,-999,2006,"yf"
-48.757,-20.063,-999,2004,"yf"
-43.976,-20.838,-999,2007,"yf"
-44.917,-18.736,-999,2006,"yf"
-44.272,-17.378,-999,2005,"yf"
-44.155,-16.322,-999,2002,"yf"
-46.872,-17.196,-999,2008,"yf"
-44.152,-16.329,-999,2008,"yf"
-46.019,-16.574,-999,2006,"yf"
-46.549,-16.468,-999,2006,"yf"
-46.975,-16.357,-999,2002,"yf"
-46.119,-15.947,-999,2008,"yf"
-50.602,-18.941,-999,2006,"yf"
-52.09,-18.297,-999,2008,"yf"
-51.769,-17.881,-999,2008,"yf"
-52.615,-17.556,-999,2006,"yf"
-51.026,-17.785,-999,2008,"yf"
-49.378,-17.96,-999,1987,"yf"
-48.64,-18.07,-999,2005,"yf"
-48.049,-18.124,-999,1996,"yf"
-48.209,-17.696,-999,2005,"yf"
-48.685,-17.703,-999,2005,"yf"
-48.342,-17.285,-999,2006,"yf"
-48.577,-17.282,-999,2008,"yf"
-49.482,-17.228,-999,2005,"yf"
-50.013,-17.264,-999,1993,"yf"
